Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,Event Venue Name,Event Venue Country,Event Venue State/Province,Event Venue City,Event Venue Address,Event Venue Zip,Event Cost,Event Category,Event URL,Event Featured Image,Event Tags,SOURCE
Untitled event,"<p>DATE & VENUE</p><p>EVENT STARTS</p><p>DOORS OPEN</p><p>TICKETS</p><p>8 ticket limit. Ticket prices include HST & fee. General Admission Standing Tickets are available for this event..</p><p>Got questions? Email us at info@sonicconcerts.com.</p><p>To attend, patrons must adhere to all government health and safety directions in place at the time of the show, as well as any additional venue protocols.</p><p>19+</p>",2026-03-05,8:00 pm,,,Seahorse Tavern,,,,,,,"Arts & Culture, Live Music, Theatre & Performance",,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D803654445098527&f=1&nofb=1&ipt=8202924968661fad1e885e489efaa991659c434cdc1c5771c776faab3e4da3d9,"Arts & Culture, Live Music & Nightlife, Theatre & Comedy",2037 Gottingen
Untitled event,"<p>DATE & VENUE</p><p>EVENT STARTS</p><p>DOORS OPEN</p><p>TICKETS</p><p>FEBRUARY, FRIDAY THE 13TH</p><p>BURNT BLACK</p><p>+</p><p>CONTRIVED</p><p>8PM DOORS / 9PM SHOWTIME</p><p>19+</p><p>Burnt Black is back on stage, and we couldn’t be more excited! They’ve returned louder, heavier, and more vibrant than ever—a blend of post-hardcore/heavy energy and raw emotion originating from the East Coast underground. This show isn’t just another gig; they’ll be debuting new music from their upcoming release (stay tuned for more on that!) alongside all the chaos, catharsis, and intensity their performances are known.Joining them are longtime friends and pioneers of the Canadian indie scene—Contrived. This rock collective has been shaping the sound of the East Coast since 2000, expertly blending energetic, riff-driven compositions. Following their triumphant return in 2024 with “Addicted to Sadness,” Contrived continues to evolve while remaining rooted in the vibrant spirit that defined a generation of Canadian music. Two iconic East Coast bands. One unforgettable night. Don’t miss it!</p>",2026-02-13,9:00 pm,,,The Marquee,,,,,,,"Arts & Culture, Live Music, Theatre & Performance",,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D803654445098527&f=1&nofb=1&ipt=8202924968661fad1e885e489efaa991659c434cdc1c5771c776faab3e4da3d9,"Arts & Culture, Live Music & Nightlife, Theatre & Comedy",2037 Gottingen
Untitled event,"<p>DATE & VENUE</p><p>EVENT STARTS</p><p>DOORS OPEN</p><p>TICKETS</p><p>Get ready to experience an electrifying night with The Glitch Mob in Halifax – it’s going to be an unforgettable show!Category: Music, Electronic & EDM</p>",2026-02-05,DOORS OPEN,,,The Marquee,,,,,,,"Arts & Culture, Theatre & Performance",,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D803654445098527&f=1&nofb=1&ipt=8202924968661fad1e885e489efaa991659c434cdc1c5771c776faab3e4da3d9,"Arts & Culture, Theatre & Comedy",2037 Gottingen
Untitled event,"<p>DATE & VENUE</p><p>EVENT STARTS</p><p>DOORS OPEN</p><p>TICKETS</p><p>The OBGMs are a Black-fronted punk band from Toronto, Canada, and one of the most electrifying live acts in modern rock. Known for their explosive performances and fearless energy, they’ve become a defining force in the new wave of punk — loud, anthemic, and unapologetically themselves.</p><p>Their album Sorry, It’s Over, a brutally honest reflection on therapy, heartbreak, and self-growth, earned The OBGMs their second Polaris Music Prize Short List nomination, cementing their place among Canada’s most vital voices. The record turns personal struggle into stadium-sized catharsis — every scream, riff, and lyric a step toward closure.</p><p>Fronted by Densil “Denz” McFarlane, alongside Colanthony “Cola” Humphrey, Simon Outhit, and Joseph Brosnan, the band channels chaos into clarity, standing shoulder to shoulder with artists like Turnstile, IDLES, and PUP while carving out a sound that’s distinctly their own.</p><p>For The OBGMs, punk isn’t nostalgia. It’s rebirth.</p>",2026-06-13,DOORS OPEN,,,Seahorse Tavern,,,,,,,"Arts & Culture, Live Music",,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D803654445098527&f=1&nofb=1&ipt=8202924968661fad1e885e489efaa991659c434cdc1c5771c776faab3e4da3d9,"Arts & Culture, Live Music & Nightlife",2037 Gottingen
Untitled event,"<p>DATE & VENUE</p><p>EVENT STARTS</p><p>DOORS OPEN</p><p>TICKETS</p><p>SURGE 105 & 2CROWS PRESENTS</p><p>WINTERSLEEP</p><p>WISHING MOON ALBUM RELEASE TOUR 2026</p><p>– THE MARQUEE BALLROOM –</p><p>SATURDAY MAY 16</p><p>8:00PM DOORS / 9:00PM SHOW</p><p>19+</p><p>It’s no easy thing to sustain a band for more than 20 years. To come together and nurture an artistic project across two decades is a statement of belief: in oneself, in one’s bandmates, in the profound connections produced by the creative process, and in the richness of the world around us—since all art is a result ofhaving noticed what it feels like to live here, and the drive to make sense of that feeling. Canadian indie-rock veterans Wintersleep belong to this group of artists. At this stage in their career, the celebrated band’s five members—principal vocalist and guitarist Paul Murphy, guitarist Tim D’Eon, keyboardist Jon Samuel, bassist Chris Bell, and drummer Loel Campbell—are possessed of a deep gratitude and humility that accompany any creatives who get to make a life-long go of making art with the people they love. But there are still wonderful mysteries and shadowy corners of experience that they have yet to uncover.With seven critically acclaimed full-length records behind them, and six years passed since their 2019 LP In The Land Of, Wintersleep are stirring again. Wishing Moon, the band’s eighth album, will arrive on March 27th, 2026 via Dine Alone. Recorded at producer Nicolas Vernhes’ studio in the Mojave Desert near Pioneertown, the collection of 13 songs evidences a renewed vitality and energy: Theband’s branches of prog-, indie-, folk-, and alternative-rock are in full bloom, stretching skyward with grateful, open, curious hearts. Wintersleep will tour Wishing Moonthroughout 2026, and they hope to see you at the show—it’s only by coming together,by still trying, and still believing, that any of this works.</p>",2026-05-16,9:00 pm,,,The Marquee,,,,,,,"Arts & Culture, Live Music, Theatre & Performance",,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D803654445098527&f=1&nofb=1&ipt=8202924968661fad1e885e489efaa991659c434cdc1c5771c776faab3e4da3d9,"Arts & Culture, Live Music & Nightlife, Theatre & Comedy",2037 Gottingen
What People Are Saying - Feb 27,"What People Are Saying live at Halifax Live Comedy Club in downtown Halifax. Standup comedy, full bar, and food service in an intimate venue.",2026-02-27,8:00 PM,,,Halifax Live Comedy Club,,,,,,,Comedy,,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/448896270_122095795580379733_8739364670816230170_n.png?_nc_cat=106&ccb=1-7&_nc_sid=cc71e4&_nc_ohc=ionTTlzbYF8Q7kNvgGtNRSd&_nc_ht=scontent-atl3-1.xx&oh=00_AYDbGVfAEQEJvMC51oKsXMiv5qK0TgqeVbO44EGB9luLQg&oe=66E3E698,"Comedy, Standup, Halifax Live",Halifax Live Comedy Club
What People Are Saying - Feb 21,"What People Are Saying live at Halifax Live Comedy Club in downtown Halifax. Standup comedy, full bar, and food service in an intimate venue.",2026-02-21,8:00 PM,,,Halifax Live Comedy Club,,,,,,,Comedy,,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/448896270_122095795580379733_8739364670816230170_n.png?_nc_cat=106&ccb=1-7&_nc_sid=cc71e4&_nc_ohc=ionTTlzbYF8Q7kNvgGtNRSd&_nc_ht=scontent-atl3-1.xx&oh=00_AYDbGVfAEQEJvMC51oKsXMiv5qK0TgqeVbO44EGB9luLQg&oe=66E3E698,"Comedy, Standup, Halifax Live",Halifax Live Comedy Club
Jake Ballard & The Bad Ticket,,2026-02-28,9:30 PM,2026-02-28,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Andrew Gillis & The Jump Blues Allstars,,2026-02-27,9:30 PM,2026-02-27,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Big Easy Fridays - Sounds of New Orleans with Mike Cowie & John Alphonse,,2026-02-27,5:30 PM,2026-02-27,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Bearly's Trivia with Kieran! - Feb 26,,2026-02-26,6:30 PM,2026-02-26,,Bearly's House of Blues and Ribs,,,,,,,"Games & Trivia, Live Music",,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Shrimp Daddy & The Sharpshooters,,2026-02-21,9:30 PM,2026-02-21,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Buddy Daniels Trio,,2026-02-21,4:00 PM,2026-02-21,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Flat Black Cadillac,,2026-02-20,9:30 PM,2026-02-20,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Big Easy Fridays - Sounds of New Orleans with Mike Cowie & John Alphonse,,2026-02-20,5:30 PM,2026-02-20,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Bearly's Trivia with Kieran! - Feb 19,,2026-02-19,6:30 PM,2026-02-19,,Bearly's House of Blues and Ribs,,,,,,,"Games & Trivia, Live Music",,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Angel Girl Valentines Album Release Show!,,2026-02-14,9:30 PM,2026-02-14,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Blake Johnston,,2026-02-13,9:30 PM,2026-02-13,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Big Easy Fridays - Sounds of New Orleans with Mike Cowie & John Alphonse,,2026-02-13,5:30 PM,2026-02-13,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Bearly's Trivia with Kieran! - Feb 12,,2026-02-12,6:30 PM,2026-02-12,,Bearly's House of Blues and Ribs,,,,,,,"Games & Trivia, Live Music",,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Keith Hallet Album Release Show!,,2026-02-07,9:30 PM,2026-02-07,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Joe Murphy & The Waterstreet Blues Band,,2026-02-07,4:00 PM,2026-02-07,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Urban Surf Kings 30th Anniversary Show!,,2026-02-06,9:30 PM,2026-02-06,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Big Easy Fridays - Sounds of New Orleans with Mike Cowie & John Alphonse,,2026-02-06,5:30 PM,2026-02-06,,Bearly's House of Blues and Ribs,,,,,,,Live Music,,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
Bearly's Trivia with Kieran! - Feb 05,,2026-02-05,6:30 PM,2026-02-05,,Bearly's House of Blues and Ribs,,,,,,,"Games & Trivia, Live Music",,https://static1.squarespace.com/static/54de1c46e4b0aa612e8f8cd0/t/67a0f1aee3107168dd42358d/1738600879182/newlogo.png,"bearlys, live music, halifax, blues",bearlys
